BraR5_ID117	Ty3/gypsy	chromovirus
BraR6_ID119	Ty3/gypsy	chromovirus
BraR7_ID116	Ty3/gypsy	chromovirus
CarP1_ID79	Ty3/gypsy	chromovirus
Cereba1_ID8	Ty3/gypsy	chromovirus
CRA1_ID6	Ty3/gypsy	chromovirus
CRA2a_ID5	Ty3/gypsy	chromovirus
CRA3a_ID1	Ty3/gypsy	chromovirus
CRA4_ID2	Ty3/gypsy	chromovirus
CRA5_ID121	Ty3/gypsy	chromovirus
CRA6_ID122	Ty3/gypsy	chromovirus
CRM1a_ID25	Ty3/gypsy	chromovirus
CRM2_ID24	Ty3/gypsy	chromovirus
CRM3_ID37	Ty3/gypsy	chromovirus
CRM4_ID30	Ty3/gypsy	chromovirus
CRM5_ID112	Ty3/gypsy	chromovirus
CRR1_ID14	Ty3/gypsy	chromovirus
CRR2_ID16	Ty3/gypsy	chromovirus
CRR3_ID17	Ty3/gypsy	chromovirus
CRR4_ID19	Ty3/gypsy	chromovirus
CRW_ID59	Ty3/gypsy	chromovirus
Galadriel_LycE_ID42	Ty3/gypsy	chromovirus
Gimli_AraT_ID40	Ty3/gypsy	chromovirus
Gloin_AraT_ID210	Ty3/gypsy	chromovirus
GlyM_ID222	Ty3/gypsy	chromovirus
GlyM_ID228	Ty3/gypsy	chromovirus
GlyM_ID230	Ty3/gypsy	chromovirus
GlyM1_ID85	Ty3/gypsy	chromovirus
GlyT_ID221	Ty3/gypsy	chromovirus
GlyT1_ID82	Ty3/gypsy	chromovirus
IpoB1_ID87	Ty3/gypsy	chromovirus
Legolas_AraT_ID39	Ty3/gypsy	chromovirus
LORE1a_LotJ_ID256	Ty3/gypsy	chromovirus
LORE2A_LotJ_ID51	Ty3/gypsy	chromovirus
LORE2B_LotJ_ID52	Ty3/gypsy	chromovirus
LotJ_ID226	Ty3/gypsy	chromovirus
LotJ_ID234	Ty3/gypsy	chromovirus
LotJ1_ID63	Ty3/gypsy	chromovirus	#domains of this elements are no longer present in the TE_domains_newest.fasta
LotJ2_ID65	Ty3/gypsy	chromovirus
LotJ3_ID88	Ty3/gypsy	chromovirus
MedT_ID218	Ty3/gypsy	chromovirus
MedT_ID232	Ty3/gypsy	chromovirus
MedT1_ID93	Ty3/gypsy	chromovirus
MedT2_ID89	Ty3/gypsy	chromovirus
MedT3_ID96	Ty3/gypsy	chromovirus
MedT4_ID97	Ty3/gypsy	chromovirus	#domains of this elements are no longer present in the TE_domains_newest.fasta
MusA_ID235	Ty3/gypsy	chromovirus
MusA_ID43	Ty3/gypsy	chromovirus
MusA1_ID67	Ty3/gypsy	chromovirus
MusB1_ID98	Ty3/gypsy	chromovirus
OryGl1_ID240	Ty3/gypsy	chromovirus
OryGr1_ID100	Ty3/gypsy	chromovirus	#domains of this elements are no longer present in the TE_domains_newest.fasta
OryM1_ID101	Ty3/gypsy	chromovirus
OryM2_ID102	Ty3/gypsy	chromovirus
OryM3_ID103	Ty3/gypsy	chromovirus
OryP1_ID105	Ty3/gypsy	chromovirus
OryP2_ID106	Ty3/gypsy	chromovirus
OryS_ID254	Ty3/gypsy	chromovirus
Peabody_PiSat_ID47	Ty3/gypsy	chromovirus
PetI1_ID72	Ty3/gypsy	chromovirus
PetI2_ID76	Ty3/gypsy	chromovirus
PhyP_ID251	Ty3/gypsy	chromovirus
